pmax_AM,pmax_LM,sum_negll
0,0,335.672
0,0.01,334.373
0,0.02,341.295
0,0.03,347.621
0,0.04,347.882
0,0.05,360.161
0,0.06,368.991
0,0.07,358.766
0,0.08,325.454
0,0.09,282.029
0,0.1,275.712
0,0.11,279.537
0,0.12,267.329
0,0.13,313.519
0,0.14,310.849
0,0.15,314.046
0,0.16,313.327
0,0.17,281.995
0,0.18,310.849
0,0.19,312.731
0,0.2,312.936
0,0.21,311.576
0,0.22,312.692
0,0.23,310.849
0,0.24,311.297
0,0.25,312.102
0,0.26,311.746
0,0.27,311.297
0,0.28,312.019
0,0.29,311.281
0,0.3,312.619
0,0.31,312.313
0,0.32,311.576
0,0.33,311.803
0,0.34,312.996
0,0.35,312.74
0,0.36,312.319
0,0.37,311.647
0,0.38,313.357
0,0.39,312.102
0,0.4,312.03
0,0.41,312.313
0,0.42,312.527
0,0.43,313.238
0,0.44,311.6
0,0.45,313.267
0,0.46,312.013
0,0.47,313.065
0,0.48,311.734
0,0.49,311.751
0,0.5,312.385
0,0.51,311.647
0,0.52,311.576
0,0.53,310.991
0,0.54,313.082
0,0.55,312.013
0,0.56,311.806
0,0.57,310.849
0,0.58,312.319
0,0.59,311.637
0,0.6,313.082
0,0.61,310.849
0,0.62,311.655
0,0.63,310.849
0,0.64,312.828
0,0.65,310.849
0,0.66,312.198
0,0.67,312.846
0,0.68,311.94
0,0.69,311.576
0,0.7,312.385
0,0.71,311.576
0,0.72,313.069
0,0.73,311.512
0,0.74,312.176
0,0.75,311.807
0,0.76,310.92
0,0.77,312.483
0,0.78,310.909
0,0.79,310.849
0,0.8,311.6
0,0.81,311.647
0,0.82,311.352
0,0.83,312.343
0,0.84,311.734
0,0.85,311.717
0,0.86,311.309
0,0.87,311.647
0,0.88,311.787
0,0.89,312.489
0,0.9,310.849
0,0.91,312.494
0,0.92,312.676
0,0.93,312.996
0,0.94,311.297
0,0.95,311.878
0,0.96,313.576
0,0.97,312.773
0,0.98,312.996
0,0.99,311.576
0.01,0,332.64
0.01,0.01,333.715
0.01,0.02,341.709
0.01,0.03,350.758
0.01,0.04,360.14
0.01,0.05,357.009
0.01,0.06,383.618
0.01,0.07,336.767
0.01,0.08,331.258
0.01,0.09,285.336
0.01,0.1,266.649
0.01,0.11,264.442
0.01,0.12,263.026
0.01,0.13,293.272
0.01,0.14,271.1
0.01,0.15,278.116
0.01,0.16,297.651
0.01,0.17,268.742
0.01,0.18,283.772
0.01,0.19,278.364
0.01,0.2,312.03
0.01,0.21,310.92
0.01,0.22,310.849
0.01,0.23,312.013
0.01,0.24,310.92
0.01,0.25,310.909
0.01,0.26,311.751
0.01,0.27,311.148
0.01,0.28,311.878
0.01,0.29,312.828
0.01,0.3,312.013
0.01,0.31,311.6
0.01,0.32,312.013
0.01,0.33,310.849
0.01,0.34,311.576
0.01,0.35,311.576
0.01,0.36,311.78
0.01,0.37,313.461
0.01,0.38,311.734
0.01,0.39,311.576
