pmax_AM,pmax_LM,sum_negll
0,0,125.104
0,0.01,126.068
0,0.02,131.74
0,0.03,137.47
0,0.04,146.539
0,0.05,149.634
0,0.06,167.633
0,0.07,170.14
0,0.08,135.837
0,0.09,101.102
0,0.1,95.2474
0,0.11,91.668
0,0.12,89.1766
0,0.13,81.2052
0,0.14,107.845
0,0.15,105.187
0,0.16,103.616
0,0.17,103.616
0,0.18,103.616
0,0.19,89.7135
0,0.2,103.616
0,0.21,103.616
0,0.22,103.616
0,0.23,103.616
0,0.24,103.616
0,0.25,103.616
0,0.26,103.616
0,0.27,103.616
0,0.28,103.616
0,0.29,103.616
0,0.3,103.616
0,0.31,103.616
0,0.32,103.616
0,0.33,103.616
0,0.34,103.616
0,0.35,103.616
0,0.36,103.616
0,0.37,103.616
0,0.38,103.616
0,0.39,103.616
0,0.4,103.616
0,0.41,103.616
0,0.42,103.616
0,0.43,103.616
0,0.44,103.616
0,0.45,103.616
0,0.46,103.616
0,0.47,103.616
0,0.48,103.616
0,0.49,103.616
0,0.5,103.616
0,0.51,103.616
0,0.52,103.616
0,0.53,103.616
0,0.54,103.616
0,0.55,103.616
0,0.56,103.616
0,0.57,103.616
0,0.58,103.616
0,0.59,103.616
0,0.6,103.616
0,0.61,103.616
0,0.62,103.616
0,0.63,103.616
0,0.64,103.616
0,0.65,103.616
0,0.66,103.616
0,0.67,103.616
0,0.68,103.616
0,0.69,103.616
0,0.7,103.616
0,0.71,103.616
0,0.72,103.616
0,0.73,103.616
0,0.74,103.616
0,0.75,103.616
0,0.76,103.616
0,0.77,103.616
0,0.78,103.616
0,0.79,103.616
0,0.8,103.616
0,0.81,103.616
0,0.82,103.616
0,0.83,103.616
0,0.84,103.616
0,0.85,103.616
0,0.86,103.616
0,0.87,103.616
0,0.88,103.616
0,0.89,103.616
0,0.9,103.616
0,0.91,103.616
0,0.92,103.616
0,0.93,103.616
0,0.94,103.616
0,0.95,103.616
0,0.96,103.616
0,0.97,103.616
0,0.98,103.616
0,0.99,103.616
0.01,0,125.413
0.01,0.01,125.352
0.01,0.02,132.51
0.01,0.03,138.206
0.01,0.04,146.009
0.01,0.05,155.622
0.01,0.06,169.743
0.01,0.07,149.727
0.01,0.08,140.687
0.01,0.09,110.547
0.01,0.1,96.5896
0.01,0.11,99.5784
0.01,0.12,86.3936
0.01,0.13,82.618
0.01,0.14,93.2973
0.01,0.15,76.8237
0.01,0.16,103.616
0.01,0.17,89.7135
0.01,0.18,104.119
0.01,0.19,88.8122
0.01,0.2,104.518
0.01,0.21,104.418
0.01,0.22,104.015
0.01,0.23,88.4283
0.01,0.24,104.901
0.01,0.25,103.616
0.01,0.26,103.616
0.01,0.27,103.616
0.01,0.28,103.616
0.01,0.29,103.616
0.01,0.3,103.616
0.01,0.31,103.616
0.01,0.32,103.616
0.01,0.33,103.616
0.01,0.34,103.616
0.01,0.35,103.616
0.01,0.36,103.616
0.01,0.37,103.616
0.01,0.38,103.616
0.01,0.39,103.616
0.01,0.4,103.616
0.01,0.41,103.616
0.01,0.42,103.616
0.01,0.43,103.616
0.01,0.44,103.616
0.01,0.45,103.616
0.01,0.46,103.616
0.01,0.47,103.616
0.01,0.48,103.616
0.01,0.49,103.616
0.01,0.5,103.616
0.01,0.51,103.616
0.01,0.52,103.616
0.01,0.53,103.616
0.01,0.54,103.616
0.01,0.55,103.616
0.01,0.56,103.616
0.01,0.57,103.616
0.01,0.58,103.616
0.01,0.59,103.616
0.01,0.6,103.616
0.01,0.61,103.616
0.01,0.62,103.616
0.01,0.63,103.616
0.01,0.64,103.616
0.01,0.65,103.616
0.01,0.66,103.616
0.01,0.67,103.616
0.01,0.68,103.616
0.01,0.69,103.616
0.01,0.7,103.616
0.01,0.71,103.616
0.01,0.72,103.616
0.01,0.73,103.616
0.01,0.74,103.616
0.01,0.75,103.616
0.01,0.76,103.616
0.01,0.77,103.616
0.01,0.78,103.616
0.01,0.79,103.616
0.01,0.8,103.616
0.01,0.81,103.616
0.01,0.82,103.616
0.01,0.83,103.616
0.01,0.84,103.616
0.01,0.85,103.616
0.01,0.86,103.616
0.01,0.87,103.616
0.01,0.88,103.616
0.01,0.89,103.616
0.01,0.9,103.616
0.01,0.91,103.616
0.01,0.92,103.616
0.01,0.93,103.616
0.01,0.94,103.616
0.01,0.95,103.616
0.01,0.96,103.616
0.01,0.97,103.616
0.01,0.98,103.616
0.01,0.99,103.616
0.02,0,124.856
0.02,0.01,127.947
0.02,0.02,131.534
0.02,0.03,141.909
0.02,0.04,143.563
0.02,0.05,154.681
0.02,0.06,159.579
0.02,0.07,169.646
0.02,0.08,135.95
0.02,0.09,109.435
0.02,0.1,98.7564
0.02,0.11,92.5385
0.02,0.12,85.615
0.02,0.13,93.7506
0.02,0.14,104.838
0.02,0.15,89.7135
0.02,0.16,79.2486
0.02,0.17,78.7507
0.02,0.18,103.616
0.02,0.19,89.7135
0.02,0.2,91.9268
0.02,0.21,103.616
0.02,0.22,103.616
0.02,0.23,103.616
0.02,0.24,103.616
0.02,0.25,103.616
0.02,0.26,103.616
0.02,0.27,103.616
0.02,0.28,103.616
0.02,0.29,103.616
0.02,0.3,103.616
0.02,0.31,103.616
0.02,0.32,103.616
0.02,0.33,103.616
0.02,0.34,103.616
0.02,0.35,103.616
0.02,0.36,103.616
0.02,0.37,103.616
0.02,0.38,103.616
0.02,0.39,103.616
0.02,0.4,103.616
0.02,0.41,103.616
0.02,0.42,103.616
0.02,0.43,103.616
0.02,0.44,103.616
0.02,0.45,103.616
0.02,0.46,103.616
0.02,0.47,103.616
0.02,0.48,103.616
0.02,0.49,103.616
0.02,0.5,103.616
0.02,0.51,103.616
0.02,0.52,103.616
0.02,0.53,103.616
0.02,0.54,103.616
0.02,0.55,103.616
0.02,0.56,103.616
0.02,0.57,103.616
0.02,0.58,103.616
0.02,0.59,103.616
0.02,0.6,103.616
0.02,0.61,103.616
0.02,0.62,103.616
0.02,0.63,103.616
0.02,0.64,103.616
0.02,0.65,103.616
0.02,0.66,103.616
0.02,0.67,103.616
0.02,0.68,103.616
0.02,0.69,103.616
0.02,0.7,103.616
0.02,0.71,103.616
0.02,0.72,103.616
0.02,0.73,103.616
0.02,0.74,103.616
0.02,0.75,103.616
0.02,0.76,103.616
0.02,0.77,103.616
0.02,0.78,103.616
0.02,0.79,103.616
0.02,0.8,103.616
0.02,0.81,103.616
0.02,0.82,103.616
0.02,0.83,103.616
0.02,0.84,103.616
0.02,0.85,103.616
0.02,0.86,103.616
0.02,0.87,103.616
0.02,0.88,103.616
0.02,0.89,103.616
0.02,0.9,103.616
0.02,0.91,103.616
0.02,0.92,103.616
0.02,0.93,103.616
0.02,0.94,103.616
0.02,0.95,103.616
0.02,0.96,103.616
0.02,0.97,103.616
0.02,0.98,103.616
0.02,0.99,103.616
0.03,0,125.204
0.03,0.01,125.752
0.03,0.02,130.082
0.03,0.03,139.612
0.03,0.04,144.452
0.03,0.05,158.034
0.03,0.06,171.404
0.03,0.07,140.294
0.03,0.08,135.933
0.03,0.09,112.199
0.03,0.1,108.927
0.03,0.11,91.8155
0.03,0.12,94.7049
0.03,0.13,80.5913
0.03,0.14,105.236
0.03,0.15,104.034
0.03,0.16,89.211
0.03,0.17,104.518
0.03,0.18,103.616
0.03,0.19,103.616
0.03,0.2,103.616
0.03,0.21,103.616
0.03,0.22,89.7135
0.03,0.23,103.616
0.03,0.24,103.616
0.03,0.25,103.616
0.03,0.26,103.616
0.03,0.27,103.616
0.03,0.28,103.616
0.03,0.29,103.616
0.03,0.3,103.616
0.03,0.31,103.616
0.03,0.32,103.616
0.03,0.33,103.616
0.03,0.34,103.616
0.03,0.35,103.616
0.03,0.36,103.616
0.03,0.37,103.616
0.03,0.38,103.616
0.03,0.39,103.616
0.03,0.4,103.616
0.03,0.41,103.616
0.03,0.42,103.616
0.03,0.43,103.616
0.03,0.44,103.616
0.03,0.45,103.616
0.03,0.46,103.616
0.03,0.47,103.616
0.03,0.48,103.616
0.03,0.49,103.616
0.03,0.5,103.616
0.03,0.51,103.616
0.03,0.52,103.616
0.03,0.53,103.616
0.03,0.54,103.616
0.03,0.55,103.616
0.03,0.56,103.616
0.03,0.57,103.616
0.03,0.58,103.616
0.03,0.59,103.616
0.03,0.6,103.616
0.03,0.61,103.616
0.03,0.62,103.616
0.03,0.63,103.616
0.03,0.64,103.616
0.03,0.65,103.616
0.03,0.66,103.616
0.03,0.67,103.616
0.03,0.68,103.616
0.03,0.69,103.616
0.03,0.7,103.616
0.03,0.71,103.616
0.03,0.72,103.616
0.03,0.73,103.616
0.03,0.74,103.616
0.03,0.75,103.616
0.03,0.76,103.616
0.03,0.77,103.616
0.03,0.78,103.616
0.03,0.79,103.616
0.03,0.8,103.616
0.03,0.81,103.616
0.03,0.82,103.616
0.03,0.83,103.616
0.03,0.84,103.616
0.03,0.85,103.616
0.03,0.86,103.616
0.03,0.87,103.616
0.03,0.88,103.616
0.03,0.89,103.616
0.03,0.9,103.616
0.03,0.91,103.616
0.03,0.92,103.616
0.03,0.93,103.616
0.03,0.94,103.616
0.03,0.95,103.616
0.03,0.96,103.616
0.03,0.97,103.616
0.03,0.98,103.616
0.03,0.99,103.616
0.04,0,124.959
0.04,0.01,126.587
0.04,0.02,133.031
0.04,0.03,140.463
0.04,0.04,147.925
0.04,0.05,153.993
0.04,0.06,165.934
0.04,0.07,156.898
0.04,0.08,131.819
0.04,0.09,117.336
0.04,0.1,101.522
0.04,0.11,96.1891
0.04,0.12,96.2702
0.04,0.13,91.1291
0.04,0.14,104.935
0.04,0.15,88.8481
0.04,0.16,92.0117
0.04,0.17,104.034
0.04,0.18,104.399
0.04,0.19,103.616
0.04,0.2,103.616
0.04,0.21,103.616
0.04,0.22,103.616
0.04,0.23,104.034
0.04,0.24,103.616
0.04,0.25,103.616
0.04,0.26,103.616
0.04,0.27,103.616
0.04,0.28,103.616
0.04,0.29,103.616
0.04,0.3,103.616
0.04,0.31,103.616
0.04,0.32,103.616
0.04,0.33,103.616
0.04,0.34,103.616
0.04,0.35,103.616
0.04,0.36,103.616
0.04,0.37,103.616
0.04,0.38,103.616
0.04,0.39,103.616
0.04,0.4,103.616
0.04,0.41,103.616
0.04,0.42,103.616
0.04,0.43,103.616
0.04,0.44,103.616
0.04,0.45,103.616
0.04,0.46,103.616
0.04,0.47,103.616
0.04,0.48,103.616
0.04,0.49,103.616
0.04,0.5,103.616
0.04,0.51,103.616
0.04,0.52,103.616
