pmax_AM,pmax_LM,sum_negll
0,0,126.486
0,0.01,126.486
0,0.02,126.486
0,0.03,126.486
0,0.04,125.793
0,0.05,124.34
0,0.06,124.34
0,0.07,124.34
0,0.08,124.34
0,0.09,124.34
0,0.1,124.34
0,0.11,124.34
0,0.12,124.645
0,0.13,125.066
0,0.14,125.066
0,0.15,125.066
0,0.16,125.066
0,0.17,126.945
0,0.18,126.945
0,0.19,126.945
0,0.2,126.945
0,0.21,126.945
0,0.22,126.945
0,0.23,126.945
0,0.24,125.254
0,0.25,124.788
0,0.26,124.788
0,0.27,124.788
0,0.28,124.788
0,0.29,124.788
0,0.3,124.771
0,0.31,124.639
0,0.32,124.639
0,0.33,124.639
0,0.34,124.639
0,0.35,124.639
0,0.36,125.945
0,0.37,125.945
0,0.38,125.945
0,0.39,125.945
0,0.4,125.945
0,0.41,125.021
0,0.42,124.34
0,0.43,124.34
0,0.44,124.34
0,0.45,124.568
0,0.46,125.138
0,0.47,125.138
0,0.48,125.138
0,0.49,125.138
0,0.5,126.97
0,0.51,125.547
0,0.52,125.547
0,0.53,125.547
0,0.54,124.118
0,0.55,125.066
0,0.56,125.066
0,0.57,125.066
0,0.58,125.066
0,0.59,125.066
0,0.6,125.066
0,0.61,125.066
0,0.62,125.066
0,0.63,125.066
0,0.64,125.066
0,0.65,125.066
0,0.66,124.618
0,0.67,124.34
0,0.68,124.34
0,0.69,124.34
0,0.7,124.34
0,0.71,124.568
0,0.72,125.066
0,0.73,125.066
0,0.74,125.066
0,0.75,125.066
0,0.76,125.066
0,0.77,125.066
0,0.78,124.639
0,0.79,124.639
0,0.8,124.639
0,0.81,124.639
0,0.82,124.639
0,0.83,124.788
0,0.84,124.788
0,0.85,124.788
0,0.86,125.019
0,0.87,125.503
0,0.88,125.503
0,0.89,125.503
0,0.9,125.503
0,0.91,124.922
0,0.92,124.34
0,0.93,124.34
0,0.94,124.34
0,0.95,124.34
0,0.96,125.532
0,0.97,126.255
0,0.98,126.255
0,0.99,126.255
0.01,0,126.255
0.01,0.01,125.062
0.01,0.02,124.34
0.01,0.03,124.34
0.01,0.04,124.34
0.01,0.05,124.568
0.01,0.06,125.066
0.01,0.07,125.066
0.01,0.08,125.066
0.01,0.09,126.35
0.01,0.1,127.085
0.01,0.11,127.085
0.01,0.12,126.609
0.01,0.13,125.675
0.01,0.14,125.675
0.01,0.15,125.675
0.01,0.16,124.859
0.01,0.17,124.41
0.01,0.18,124.41
0.01,0.19,124.639
0.01,0.2,124.771
0.01,0.21,124.771
0.01,0.22,124.771
0.01,0.23,125.09
0.01,0.24,125.369
0.01,0.25,125.369
0.01,0.26,125.066
0.01,0.27,125.066
0.01,0.28,125.066
0.01,0.29,125.066
0.01,0.3,125.52
0.01,0.31,125.804
0.01,0.32,125.804
0.01,0.33,125.804
0.01,0.34,125.804
0.01,0.35,125.787
0.01,0.36,125.369
0.01,0.37,125.369
0.01,0.38,125.386
0.01,0.39,125.52
0.01,0.4,125.52
0.01,0.41,125.52
0.01,0.42,125.225
0.01,0.43,125.225
0.01,0.44,125.225
0.01,0.45,124.644
0.01,0.46,124.34
