pmax_AM,pmax_LM,sum_negll
0,0,249.683
0,0.01,253.104
0,0.02,255.4
0,0.03,264.232
0,0.04,274.691
0,0.05,278.853
0,0.06,286.043
0,0.07,292.606
0,0.08,254.75
0,0.09,237.505
0,0.1,223.254
0,0.11,218.089
0,0.12,213.597
0,0.13,206.526
0,0.14,215.8
0,0.15,214.314
0,0.16,201.799
0,0.17,228.956
0,0.18,227.956
0,0.19,229.862
0,0.2,229.88
0,0.21,228.255
0,0.22,227.956
0,0.23,230.175
0,0.24,229.935
0,0.25,229.12
0,0.26,230.103
0,0.27,227.956
0,0.28,230.55
0,0.29,229.137
0,0.3,227.956
0,0.31,228.404
0,0.32,229.192
0,0.33,228.926
0,0.34,230.24
0,0.35,230.295
0,0.36,228.099
0,0.37,228.69
0,0.38,228.841
0,0.39,228.388
0,0.4,230.568
0,0.41,227.956
0,0.42,228.558
0,0.43,229.42
0,0.44,228.683
0,0.45,230.412
0,0.46,229.12
0,0.47,228.683
0,0.48,228.744
0,0.49,229.579
0,0.5,229.209
0,0.51,229.726
0,0.52,228.683
0,0.53,228.683
0,0.54,228.404
0,0.55,229.42
0,0.56,228.858
0,0.57,228.707
0,0.58,228.985
0,0.59,228.388
0,0.6,228.404
0,0.61,227.956
0,0.62,228.255
0,0.63,229.862
0,0.64,230.172
0,0.65,228.905
0,0.66,228.683
0,0.67,229.164
0,0.68,229.596
0,0.69,228.026
0,0.7,229.888
0,0.71,229.12
0,0.72,228.388
0,0.73,228.683
0,0.74,230.103
0,0.75,228.026
0,0.76,231.595
0,0.77,229.057
0,0.78,228.754
0,0.79,228.762
0,0.8,229.862
0,0.81,228.69
0,0.82,228.69
0,0.83,228.683
0,0.84,229.699
0,0.85,229.27
0,0.86,229.443
0,0.87,229.12
0,0.88,230.327
0,0.89,229.42
0,0.9,228.824
0,0.91,228.593
0,0.92,228.088
0,0.93,228.841
0,0.94,229.42
0,0.95,228.683
0,0.96,228.683
0,0.97,228.326
0,0.98,228.016
0,0.99,228.465
0.01,0,249.731
0.01,0.01,249.322
0.01,0.02,256.012
0.01,0.03,265.442
0.01,0.04,265.658
0.01,0.05,278.197
0.01,0.06,293.873
0.01,0.07,285.13
0.01,0.08,268.606
0.01,0.09,237.41
0.01,0.1,225.071
0.01,0.11,215.599
0.01,0.12,211.704
0.01,0.13,203.164
0.01,0.14,216.025
0.01,0.15,216.391
0.01,0.16,217.352
0.01,0.17,228.537
0.01,0.18,230.297
0.01,0.19,227.956
0.01,0.2,228.159
0.01,0.21,228.388
0.01,0.22,229.42
0.01,0.23,228.754
0.01,0.24,227.956
0.01,0.25,229.596
0.01,0.26,229.42
0.01,0.27,229.292
0.01,0.28,230.327
0.01,0.29,228.754
0.01,0.3,228.841
0.01,0.31,228.416
0.01,0.32,228.92
0.01,0.33,228.985
0.01,0.34,229.726
