pmax_AM,pmax_LM,sum_negll
0,0,83.096
0,0.01,83.3256
0,0.02,85.1937
0,0.03,83.017
0,0.04,84.1009
0,0.05,83.968
0,0.06,81.8981
0,0.07,63.9581
0,0.08,59.2341
0,0.09,52.2612
0,0.1,51.8829
0,0.11,50.8287
0,0.12,56.5868
0,0.13,59.476
0,0.14,65.952
0,0.15,65.952
0,0.16,82.8931
0,0.17,82.8931
0,0.18,82.8931
0,0.19,82.8931
0,0.2,82.8931
0,0.21,82.8931
0,0.22,82.8931
0,0.23,82.8931
0,0.24,82.8931
0,0.25,82.8931
0,0.26,82.8931
0,0.27,82.8931
0,0.28,82.8931
0,0.29,82.8931
0,0.3,82.8931
0,0.31,82.8931
0,0.32,82.8931
0,0.33,82.8931
0,0.34,82.8931
0,0.35,82.8931
0,0.36,82.8931
0,0.37,82.8931
0,0.38,82.8931
0,0.39,82.8931
0,0.4,82.8931
0,0.41,82.8931
0,0.42,82.8931
0,0.43,82.8931
0,0.44,82.8931
0,0.45,82.8931
0,0.46,82.8931
0,0.47,82.8931
0,0.48,82.8931
0,0.49,82.8931
0,0.5,82.8931
0,0.51,82.8931
0,0.52,82.8931
0,0.53,82.8931
0,0.54,82.8931
0,0.55,82.8931
0,0.56,82.8931
0,0.57,82.8931
0,0.58,82.8931
0,0.59,82.8931
0,0.6,82.8931
0,0.61,82.8931
0,0.62,82.8931
0,0.63,82.8931
0,0.64,82.8931
0,0.65,82.8931
0,0.66,82.8931
0,0.67,82.8931
0,0.68,82.8931
0,0.69,82.8931
0,0.7,82.8931
0,0.71,82.8931
0,0.72,82.8931
0,0.73,82.8931
0,0.74,82.8931
0,0.75,82.8931
0,0.76,82.8931
0,0.77,82.8931
0,0.78,82.8931
0,0.79,82.8931
0,0.8,82.8931
0,0.81,82.8931
0,0.82,82.8931
0,0.83,82.8931
0,0.84,82.8931
0,0.85,82.8931
0,0.86,82.8931
0,0.87,82.8931
0,0.88,82.8931
0,0.89,82.8931
0,0.9,82.8931
0,0.91,82.8931
0,0.92,82.8931
0,0.93,82.8931
0,0.94,82.8931
0,0.95,82.8931
0,0.96,82.8931
0,0.97,82.8931
0,0.98,82.8931
0,0.99,82.8931
0.01,0,82.8931
0.01,0.01,82.8931
0.01,0.02,84.03
0.01,0.03,85.847
0.01,0.04,84.4564
0.01,0.05,84.7028
0.01,0.06,76.9939
0.01,0.07,61.3013
0.01,0.08,56.5021
0.01,0.09,49.3359
0.01,0.1,49.1539
0.01,0.11,56.5868
0.01,0.12,67.9486
0.01,0.13,65.7248
0.01,0.14,65.952
0.01,0.15,82.8931
0.01,0.16,82.8931
0.01,0.17,82.8931
0.01,0.18,82.8931
0.01,0.19,82.8931
0.01,0.2,82.8931
0.01,0.21,82.8931
0.01,0.22,82.8931
0.01,0.23,82.8931
0.01,0.24,82.8931
0.01,0.25,82.8931
0.01,0.26,82.8931
0.01,0.27,82.8931
0.01,0.28,82.8931
0.01,0.29,82.8931
0.01,0.3,82.8931
0.01,0.31,82.8931
0.01,0.32,82.8931
0.01,0.33,82.8931
0.01,0.34,82.8931
0.01,0.35,82.8931
0.01,0.36,82.8931
0.01,0.37,82.8931
0.01,0.38,82.8931
0.01,0.39,82.8931
0.01,0.4,82.8931
0.01,0.41,82.8931
0.01,0.42,82.8931
0.01,0.43,82.8931
0.01,0.44,82.8931
0.01,0.45,82.8931
0.01,0.46,82.8931
0.01,0.47,82.8931
0.01,0.48,82.8931
0.01,0.49,82.8931
0.01,0.5,82.8931
0.01,0.51,82.8931
0.01,0.52,82.8931
0.01,0.53,82.8931
0.01,0.54,82.8931
0.01,0.55,82.8931
0.01,0.56,82.8931
0.01,0.57,82.8931
0.01,0.58,82.8931
0.01,0.59,82.8931
0.01,0.6,82.8931
0.01,0.61,82.8931
0.01,0.62,82.8931
0.01,0.63,82.8931
0.01,0.64,82.8931
0.01,0.65,82.8931
0.01,0.66,82.8931
0.01,0.67,82.8931
0.01,0.68,82.8931
0.01,0.69,82.8931
0.01,0.7,82.8931
0.01,0.71,82.8931
0.01,0.72,82.8931
0.01,0.73,82.8931
0.01,0.74,82.8931
0.01,0.75,82.8931
0.01,0.76,82.8931
0.01,0.77,82.8931
0.01,0.78,82.8931
0.01,0.79,82.8931
0.01,0.8,82.8931
0.01,0.81,82.8931
0.01,0.82,82.8931
0.01,0.83,82.8931
0.01,0.84,82.8931
0.01,0.85,82.8931
0.01,0.86,82.8931
0.01,0.87,82.8931
0.01,0.88,82.8931
0.01,0.89,82.8931
0.01,0.9,82.8931
0.01,0.91,82.8931
0.01,0.92,82.8931
0.01,0.93,82.8931
0.01,0.94,82.8931
0.01,0.95,82.8931
0.01,0.96,82.8931
0.01,0.97,82.8931
0.01,0.98,82.8931
0.01,0.99,82.8931
0.02,0,83.096
0.02,0.01,83.096
0.02,0.02,84.9202
0.02,0.03,86.1918
0.02,0.04,83.7392
0.02,0.05,85.9083
0.02,0.06,83.0449
0.02,0.07,74.8541
0.02,0.08,58.0046
0.02,0.09,52.2172
0.02,0.1,52.9863
0.02,0.11,52.4548
0.02,0.12,60.0454
0.02,0.13,53.605
0.02,0.14,55.0294
0.02,0.15,65.952
0.02,0.16,67.9486
0.02,0.17,67.9486
0.02,0.18,82.8931
0.02,0.19,82.8931
0.02,0.2,82.8931
0.02,0.21,82.8931
0.02,0.22,82.8931
0.02,0.23,82.8931
0.02,0.24,82.8931
0.02,0.25,82.8931
0.02,0.26,82.8931
0.02,0.27,82.8931
0.02,0.28,82.8931
0.02,0.29,82.8931
0.02,0.3,82.8931
0.02,0.31,82.8931
0.02,0.32,82.8931
0.02,0.33,82.8931
0.02,0.34,82.8931
0.02,0.35,82.8931
0.02,0.36,82.8931
0.02,0.37,82.8931
0.02,0.38,82.8931
0.02,0.39,82.8931
0.02,0.4,82.8931
0.02,0.41,82.8931
0.02,0.42,82.8931
0.02,0.43,82.8931
0.02,0.44,82.8931
0.02,0.45,82.8931
0.02,0.46,82.8931
0.02,0.47,82.8931
0.02,0.48,82.8931
0.02,0.49,82.8931
0.02,0.5,82.8931
0.02,0.51,82.8931
0.02,0.52,82.8931
0.02,0.53,82.8931
0.02,0.54,82.8931
0.02,0.55,82.8931
0.02,0.56,82.8931
0.02,0.57,82.8931
0.02,0.58,82.8931
0.02,0.59,82.8931
0.02,0.6,82.8931
0.02,0.61,82.8931
0.02,0.62,82.8931
0.02,0.63,82.8931
0.02,0.64,82.8931
0.02,0.65,82.8931
0.02,0.66,82.8931
0.02,0.67,82.8931
0.02,0.68,82.8931
0.02,0.69,82.8931
0.02,0.7,82.8931
0.02,0.71,82.8931
0.02,0.72,82.8931
0.02,0.73,82.8931
0.02,0.74,82.8931
0.02,0.75,82.8931
0.02,0.76,82.8931
0.02,0.77,82.8931
0.02,0.78,82.8931
0.02,0.79,82.8931
0.02,0.8,82.8931
0.02,0.81,82.8931
0.02,0.82,82.8931
0.02,0.83,82.8931
0.02,0.84,82.8931
0.02,0.85,82.8931
0.02,0.86,82.8931
0.02,0.87,82.8931
0.02,0.88,82.8931
0.02,0.89,82.8931
0.02,0.9,82.8931
0.02,0.91,82.8931
0.02,0.92,82.8931
0.02,0.93,82.8931
0.02,0.94,82.8931
0.02,0.95,82.8931
0.02,0.96,82.8931
0.02,0.97,82.8931
0.02,0.98,82.8931
0.02,0.99,82.8931
0.03,0,83.3525
0.03,0.01,83.5888
0.03,0.02,84.4292
0.03,0.03,86.8683
0.03,0.04,85.0361
0.03,0.05,82.0071
0.03,0.06,82.3093
0.03,0.07,75.5294
0.03,0.08,54.6097
0.03,0.09,49.6589
0.03,0.1,52.4181
0.03,0.11,55.8218
0.03,0.12,57.3374
0.03,0.13,62.6167
0.03,0.14,67.9486
0.03,0.15,67.9486
0.03,0.16,65.952
0.03,0.17,65.952
0.03,0.18,82.8931
0.03,0.19,82.8931
0.03,0.2,82.8931
0.03,0.21,82.8931
0.03,0.22,82.8931
0.03,0.23,82.8931
0.03,0.24,82.8931
0.03,0.25,82.8931
0.03,0.26,82.8931
0.03,0.27,82.8931
0.03,0.28,82.8931
0.03,0.29,82.8931
0.03,0.3,82.8931
0.03,0.31,82.8931
0.03,0.32,82.8931
0.03,0.33,82.8931
0.03,0.34,82.8931
0.03,0.35,82.8931
0.03,0.36,82.8931
0.03,0.37,82.8931
0.03,0.38,82.8931
0.03,0.39,82.8931
0.03,0.4,82.8931
0.03,0.41,82.8931
0.03,0.42,82.8931
0.03,0.43,82.8931
0.03,0.44,82.8931
0.03,0.45,82.8931
0.03,0.46,82.8931
0.03,0.47,82.8931
0.03,0.48,82.8931
0.03,0.49,82.8931
0.03,0.5,82.8931
0.03,0.51,82.8931
0.03,0.52,82.8931
0.03,0.53,82.8931
0.03,0.54,82.8931
0.03,0.55,82.8931
0.03,0.56,82.8931
0.03,0.57,82.8931
0.03,0.58,82.8931
0.03,0.59,82.8931
0.03,0.6,82.8931
0.03,0.61,82.8931
0.03,0.62,82.8931
0.03,0.63,82.8931
0.03,0.64,82.8931
